@RELATION nivel_atividade_fisica

@ATTRIBUTE idade INTEGER
@ATTRIBUTE horas_sono REAL
@ATTRIBUTE passos_diarios INTEGER
@ATTRIBUTE horas_sentado REAL
@ATTRIBUTE freq_exercicio_semana INTEGER
@ATTRIBUTE imc REAL
@ATTRIBUTE horas_tela REAL
@ATTRIBUTE consumo_agua_litros REAL
@ATTRIBUTE cor_roupa_favorita {Amarelo,Azul,Branco,Cinza,Preto,Roxo,Verde,Vermelho}
@ATTRIBUTE nivel_atividade {Sedentario,Moderadamente_Ativo,Ativo}

@DATA
42,9.2,5845,9.7,2,23.3,4.8,2,Cinza,Moderadamente_Ativo
23,8.3,7064,7.7,2,21.3,6.4,2.6,Cinza,Moderadamente_Ativo
67,5.6,2105,10.1,0,25.3,6.9,0.8,Azul,Sedentario
32,8.4,9324,2.8,5,20.6,4.5,2.3,Branco,Ativo
54,7.6,1523,9.8,0,25.3,9.5,1.6,Vermelho,Sedentario
23,8.4,11408,3.3,5,18.2,2,2.6,Vermelho,Ativo
43,5.8,2897,11.1,0,34.1,6.8,1.3,Cinza,Sedentario
50,3.5,14000,2,6,19.5,2,3.5,Azul,Ativo
22,6.4,5768,8,?,29.7,7.6,2.5,Amarelo,Moderadamente_Ativo
48,7.4,2037,12.5,1,27.7,7.8,1.7,Branco,Sedentario
37,6.7,0,7.7,0,32.7,13.5,0.8,Cinza,Sedentario
47,7.2,6294,7.5,2,28.1,3.4,?,Verde,Moderadamente_Ativo
60,6.8,2905,11.4,1,?,8.7,0.7,Preto,Sedentario
42,6.9,7638,6.5,3,23.4,6.5,2.3,Amarelo,Moderadamente_Ativo
36,5.6,2369,10.1,0,25.9,10,1.4,Vermelho,Sedentario
39,6.9,7020,6.8,3,26.5,3.8,2.7,Preto,Moderadamente_Ativo
33,6.8,15297,4,6,19.5,2.4,1.7,Vermelho,Ativo
60,6.3,2723,13.5,0,24,9.6,1.9,Preto,Sedentario
54,6,1983,8.7,0,21,9.4,1.2,Amarelo,Sedentario
55,7.5,2084,9.9,0,26.2,7.2,1.5,Vermelho,Sedentario
39,5.2,2433,9.3,0,29,8.1,0.7,Cinza,Sedentario
27,7.3,7724,7.3,3,26.4,5.6,1.9,Preto,Moderadamente_Ativo
44,6.3,2565,9.9,0,34.7,6.9,0.6,Preto,Sedentario
22,7,10943,3.1,5,21,1.4,2.6,Amarelo,Ativo
23,8.2,15990,3.4,5,23,3.1,?,Verde,Ativo
26,6.8,7401,6.6,3,18,5.4,2.2,Branco,Moderadamente_Ativo
48,5.5,1923,10.1,0,26.7,7.6,1.5,Amarelo,Sedentario
