idade,horas_sono,passos_diarios,horas_sentado,freq_exercicio_semana,imc,horas_tela,consumo_agua_litros,cor_roupa_favorita,nivel_atividade
42,9.2,5845.0,9.7,2.0,23.3,4.8,2.0,Cinza,Moderadamente_Ativo
23,8.3,7064.0,7.7,2.0,21.3,6.4,2.6,Cinza,Moderadamente_Ativo
67,5.6,2105.0,10.1,0.0,25.3,6.9,0.8,Azul,Sedentario
32,8.4,9324.0,2.8,5.0,20.6,4.5,2.3,Branco,Ativo
54,7.6,1523.0,9.8,0.0,25.3,9.5,1.6,Vermelho,Sedentario
23,8.4,11408.0,3.3,5.0,18.2,2.0,2.6,Vermelho,Ativo
43,5.8,2897.0,11.1,0.0,34.1,6.8,1.3,Cinza,Sedentario
50,3.5,14000.0,2.0,6.0,19.5,2.0,3.5,Azul,Ativo
22,6.4,5768.0,8.0,,29.7,7.6,2.5,Amarelo,Moderadamente_Ativo
48,7.4,2037.0,12.5,1.0,27.7,7.8,1.7,Branco,Sedentario
37,6.7,0.0,7.7,0.0,32.7,13.5,0.8,Cinza,Sedentario
47,7.2,6294.0,7.5,2.0,28.1,3.4,,Verde,Moderadamente_Ativo
60,6.8,2905.0,11.4,1.0,,8.7,0.7,Preto,Sedentario
42,6.9,7638.0,6.5,3.0,23.4,6.5,2.3,Amarelo,Moderadamente_Ativo
36,5.6,2369.0,10.1,0.0,25.9,10.0,1.4,Vermelho,Sedentario
39,6.9,7020.0,6.8,3.0,26.5,3.8,2.7,Preto,Moderadamente_Ativo
33,6.8,15297.0,4.0,6.0,19.5,2.4,1.7,Vermelho,Ativo
60,6.3,2723.0,13.5,0.0,24.0,9.6,1.9,Preto,Sedentario
54,6.0,1983.0,8.7,0.0,21.0,9.4,1.2,Amarelo,Sedentario
55,7.5,2084.0,9.9,0.0,26.2,7.2,1.5,Vermelho,Sedentario
39,5.2,2433.0,9.3,0.0,29.0,8.1,0.7,Cinza,Sedentario
27,7.3,7724.0,7.3,3.0,26.4,5.6,1.9,Preto,Moderadamente_Ativo
44,6.3,2565.0,9.9,0.0,34.7,6.9,0.6,Preto,Sedentario
22,7.0,10943.0,3.1,5.0,21.0,1.4,2.6,Amarelo,Ativo
23,8.2,15990.0,3.4,5.0,23.0,3.1,,Verde,Ativo
26,6.8,7401.0,6.6,3.0,18.0,5.4,2.2,Branco,Moderadamente_Ativo
48,5.5,1923.0,10.1,0.0,26.7,7.6,1.5,Amarelo,Sedentario
27,6.8,8594.0,6.9,2.0,24.2,4.3,2.2,Branco,Moderadamente_Ativo
20,7.9,13865.0,4.3,5.0,,3.6,3.1,Branco,Ativo
19,8.2,15290.0,4.1,4.0,22.8,2.3,2.6,Azul,Ativo
27,7.6,14702.0,5.6,4.0,20.5,3.3,2.7,Cinza,Ativo
52,5.4,1138.0,11.2,,27.1,7.3,1.2,Amarelo,Sedentario
50,5.1,3162.0,10.8,0.0,31.8,8.6,1.2,Azul,Sedentario
37,7.1,9413.0,5.7,3.0,25.6,5.3,2.8,Vermelho,Moderadamente_Ativo
33,7.5,10576.0,2.5,5.0,24.3,1.8,3.7,Verde,Ativo
27,6.9,2314.0,11.4,,29.8,6.5,1.2,Vermelho,Sedentario
27,7.1,6474.0,7.0,2.0,,2.7,1.4,Roxo,Moderadamente_Ativo
37,8.4,6999.0,8.5,2.0,,3.4,2.1,Verde,Moderadamente_Ativo
33,6.0,2310.0,11.9,0.0,24.3,10.4,1.0,Preto,Sedentario
29,7.0,2851.0,13.5,0.0,30.1,8.9,1.7,Branco,Sedentario
23,8.0,11202.0,2.4,5.0,21.7,3.4,3.3,Cinza,Ativo
52,7.5,7589.0,7.7,4.0,23.4,7.6,1.1,Verde,Moderadamente_Ativo
44,6.5,2069.0,10.8,0.0,26.9,7.1,1.7,Branco,Sedentario
22,7.2,12911.0,5.9,6.0,23.2,3.5,2.8,Branco,Ativo
41,7.3,98.0,10.9,0.0,18.0,11.7,2.0,Branco,Sedentario
31,6.5,5254.0,6.2,2.0,23.2,6.8,1.9,Cinza,Moderadamente_Ativo
27,8.2,8504.0,6.1,4.0,19.0,5.5,1.5,Amarelo,Moderadamente_Ativo
62,5.8,973.0,9.1,0.0,27.7,8.5,1.8,Amarelo,Sedentario
33,8.7,7846.0,5.1,4.0,20.4,2.6,,Branco,Ativo
57,6.8,3146.0,12.1,1.0,31.9,8.2,1.2,Roxo,Sedentario
28,,8274.0,3.8,5.0,23.4,,2.4,Amarelo,Ativo
49,5.2,3378.0,10.4,0.0,29.5,9.3,1.2,Vermelho,Sedentario
48,7.9,2518.0,12.1,1.0,29.9,6.9,1.0,Amarelo,Sedentario
30,6.1,5238.0,7.1,4.0,22.3,,3.0,Verde,Moderadamente_Ativo
37,5.2,1472.0,9.4,0.0,29.0,7.5,0.5,Preto,Sedentario
65,5.7,1334.0,10.5,,26.4,9.9,0.9,Cinza,Sedentario
40,7.7,6161.0,7.4,2.0,25.6,6.2,1.9,Azul,Moderadamente_Ativo
21,8.8,9789.0,4.3,5.0,21.4,4.5,3.8,Amarelo,Ativo
39,4.6,3513.0,11.2,0.0,31.5,9.8,1.6,Azul,Sedentario
55,6.6,5918.0,7.1,4.0,24.3,4.1,2.1,Vermelho,Moderadamente_Ativo
27,6.5,3421.0,8.1,0.0,29.2,9.2,0.8,Amarelo,Sedentario
44,6.2,,9.1,2.0,26.3,4.6,2.5,Vermelho,Moderadamente_Ativo
37,8.4,12449.0,4.3,5.0,21.4,1.0,3.0,Verde,Ativo
22,7.2,8536.0,3.1,6.0,22.4,3.7,2.4,Preto,Ativo
56,6.4,2863.0,10.8,,34.1,8.1,0.8,Vermelho,Sedentario
35,6.9,,3.2,4.0,21.7,1.8,2.9,Preto,Ativo
26,8.1,12683.0,6.5,4.0,25.1,4.4,3.3,Roxo,Ativo
24,7.4,5685.0,8.5,2.0,25.2,4.2,2.2,Roxo,Moderadamente_Ativo
61,5.0,1280.0,9.9,0.0,33.1,,1.6,Roxo,Sedentario
32,5.4,1989.0,10.2,0.0,29.3,7.5,1.4,Preto,Sedentario
59,5.6,4652.0,9.9,0.0,27.9,10.0,0.9,Cinza,Sedentario
26,7.0,5803.0,5.8,3.0,21.8,5.4,2.1,Preto,Moderadamente_Ativo
56,6.1,2455.0,7.7,0.0,30.7,10.1,0.4,Verde,Sedentario
73,5.4,3615.0,10.8,0.0,27.2,8.0,1.3,Amarelo,Sedentario
18,7.2,4827.0,6.4,2.0,27.2,3.6,1.7,Cinza,Moderadamente_Ativo
19,9.7,13997.0,3.7,5.0,24.1,3.9,3.4,Preto,Ativo
39,6.8,17243.0,3.1,6.0,21.3,2.5,2.8,Preto,Ativo
33,8.1,7213.0,7.7,3.0,21.5,3.6,2.1,Azul,Moderadamente_Ativo
36,7.1,10278.0,2.7,5.0,19.7,2.9,2.7,Azul,Ativo
18,7.8,10464.0,4.0,6.0,25.9,2.9,2.1,Vermelho,Ativo
22,10.0,13960.0,7.0,5.0,20.6,3.6,3.4,Verde,Ativo
21,7.3,8000.0,3.1,4.0,19.7,2.5,2.6,Cinza,Ativo
30,5.8,6159.0,7.4,3.0,20.5,4.5,3.4,Cinza,Moderadamente_Ativo
25,9.2,7500.0,6.5,3.0,24.0,5.5,2.2,Amarelo,Moderadamente_Ativo
18,8.3,9265.0,4.1,4.0,24.1,3.5,2.6,Roxo,Ativo
29,6.4,8303.0,6.3,,25.0,5.4,2.5,Verde,Moderadamente_Ativo
18,7.3,8187.0,7.4,3.0,21.0,3.4,2.1,Branco,Moderadamente_Ativo
20,7.1,8455.0,9.1,2.0,20.8,4.6,2.5,Verde,Moderadamente_Ativo
38,6.7,5803.0,6.3,3.0,22.7,7.0,1.8,Cinza,Moderadamente_Ativo
55,3.8,120.0,15.8,0.0,47.9,14.2,0.3,Cinza,Sedentario
40,7.5,13907.0,3.9,4.0,21.3,4.4,2.2,Cinza,Ativo
47,,7271.0,9.5,3.0,27.4,3.7,1.8,Vermelho,Moderadamente_Ativo
32,6.7,2923.0,10.1,1.0,27.9,7.8,,Preto,Sedentario
44,6.9,6776.0,8.4,,23.2,5.3,1.9,Preto,Moderadamente_Ativo
33,,,10.7,0.0,30.0,12.4,1.0,Amarelo,Sedentario
48,5.4,3236.0,8.4,0.0,30.8,11.0,1.1,Vermelho,Sedentario
26,6.7,6365.0,9.0,2.0,24.1,,1.5,Branco,Moderadamente_Ativo
49,6.7,6898.0,7.2,3.0,19.9,3.3,2.2,Preto,Moderadamente_Ativo
37,6.8,8747.0,9.5,4.0,26.9,4.1,2.5,Vermelho,Moderadamente_Ativo
61,6.6,2129.0,8.9,,26.2,6.3,1.0,Preto,Sedentario
53,5.4,2530.0,9.4,0.0,23.3,7.0,0.6,Azul,Sedentario
50,4.8,1643.0,12.0,0.0,32.1,8.5,1.1,Cinza,Sedentario
57,5.3,3249.0,10.3,0.0,32.3,6.8,1.3,Cinza,Sedentario
39,7.9,7856.0,8.1,3.0,,4.5,2.0,Cinza,Moderadamente_Ativo
36,9.4,13610.0,3.9,5.0,19.7,1.5,3.2,Roxo,Ativo
51,6.2,4600.0,10.4,0.0,31.6,9.7,0.5,Roxo,Sedentario
47,7.5,7749.0,6.9,2.0,25.3,5.0,2.2,Branco,Moderadamente_Ativo
43,7.4,5649.0,7.0,2.0,27.2,6.3,2.4,Roxo,Moderadamente_Ativo
18,7.6,7938.0,8.0,2.0,28.5,3.3,,Azul,Moderadamente_Ativo
63,3.9,2160.0,10.0,0.0,25.9,6.7,1.8,Preto,Sedentario
21,7.1,8599.0,7.1,4.0,22.0,5.3,1.9,Vermelho,Moderadamente_Ativo
42,8.1,12815.0,1.6,5.0,,,1.8,Amarelo,Ativo
27,5.4,2368.0,10.8,0.0,30.7,6.5,1.7,Verde,Sedentario
61,,,13.2,0.0,33.9,9.7,0.7,Branco,Sedentario
39,5.3,2537.0,9.1,0.0,22.0,10.1,1.3,Roxo,Sedentario
30,4.4,1780.0,12.7,0.0,27.9,6.4,0.9,Preto,Sedentario
39,,1307.0,13.3,0.0,34.2,8.7,1.2,Vermelho,Sedentario
45,6.1,2581.0,10.9,1.0,30.5,8.0,0.5,Branco,Sedentario
18,7.2,,1.6,4.0,20.6,1.5,1.8,Preto,Ativo
61,4.3,2146.0,8.9,0.0,,7.8,1.2,Vermelho,Sedentario
56,6.6,3026.0,11.4,1.0,27.0,10.6,1.2,Vermelho,Sedentario
31,6.7,5772.0,6.8,3.0,20.1,5.3,2.4,Preto,Moderadamente_Ativo
24,8.0,12327.0,5.0,4.0,25.0,2.0,2.3,Azul,Ativo
28,,14587.0,2.8,5.0,21.0,1.9,2.9,Roxo,Ativo
49,7.5,,4.8,3.0,22.1,7.6,2.5,Roxo,Moderadamente_Ativo
51,6.7,6059.0,6.2,2.0,23.5,4.2,1.6,Preto,Moderadamente_Ativo
40,8.0,5985.0,8.0,3.0,29.7,,1.8,Branco,Moderadamente_Ativo
51,6.0,2980.0,7.4,0.0,32.4,6.1,1.6,Cinza,Sedentario
29,8.4,8203.0,7.3,3.0,20.3,4.1,2.5,Verde,Moderadamente_Ativo
33,7.6,6968.0,8.8,2.0,23.3,3.4,1.6,Cinza,Moderadamente_Ativo
22,7.7,5148.0,5.5,2.0,26.3,2.3,2.2,Roxo,Moderadamente_Ativo
22,7.8,11314.0,3.7,5.0,22.4,3.0,2.8,Branco,Ativo
36,6.8,6988.0,8.4,2.0,,8.1,1.4,Verde,Moderadamente_Ativo
36,7.7,8609.0,7.2,3.0,21.7,8.1,2.7,Verde,Moderadamente_Ativo
38,6.9,7672.0,8.5,3.0,21.0,6.5,2.2,Preto,Moderadamente_Ativo
38,,15164.0,2.7,,22.8,3.0,3.1,Cinza,Ativo
45,7.2,7587.0,7.3,2.0,19.5,3.0,1.0,Verde,Moderadamente_Ativo
45,7.3,5837.0,7.8,2.0,29.9,7.2,2.4,Cinza,Moderadamente_Ativo
23,7.6,15101.0,6.8,4.0,19.6,3.7,2.5,Preto,Ativo
30,8.5,12000.0,9.8,5.0,35.5,7.5,0.5,Vermelho,Ativo
57,6.3,0.0,8.7,0.0,36.2,6.5,0.5,Roxo,Sedentario
48,7.9,6244.0,8.0,3.0,24.5,3.3,1.9,Branco,Moderadamente_Ativo
23,8.3,,5.7,6.0,22.8,2.7,3.5,Preto,Ativo
38,6.1,6560.0,8.8,4.0,25.0,7.9,1.7,Amarelo,Moderadamente_Ativo
32,7.5,,3.5,6.0,19.3,0.5,2.6,Roxo,Ativo
35,,3048.0,13.2,0.0,31.6,7.5,0.9,Roxo,Sedentario
26,6.4,1870.0,8.5,0.0,24.7,11.2,1.5,Preto,Sedentario
25,9.3,12183.0,4.2,6.0,21.5,3.6,3.1,Cinza,Ativo
38,6.9,10021.0,4.1,7.0,18.9,1.4,3.1,Verde,Ativo
33,8.4,9006.0,5.0,4.0,21.9,2.4,3.7,Cinza,Ativo
25,8.8,12779.0,4.7,4.0,21.2,4.3,3.1,Vermelho,Ativo
18,6.1,2238.0,11.5,1.0,33.9,8.1,0.7,Verde,Sedentario
62,7.6,1298.0,11.4,0.0,33.7,7.0,1.4,Cinza,Sedentario
23,7.6,13597.0,1.8,4.0,25.7,2.1,3.0,Verde,Ativo
25,7.9,7865.0,7.7,2.0,23.4,4.7,2.4,Vermelho,Moderadamente_Ativo
52,,7357.0,5.9,2.0,27.3,5.3,2.7,Cinza,Moderadamente_Ativo
27,6.7,9169.0,3.1,5.0,20.4,2.2,3.3,Cinza,Ativo
18,7.8,8883.0,4.2,5.0,22.2,3.0,3.4,Cinza,Ativo
38,8.2,2895.0,9.7,0.0,33.3,9.5,0.5,Verde,Sedentario
59,7.6,2905.0,8.9,0.0,31.3,6.5,1.4,Branco,Sedentario
43,8.7,13835.0,2.0,5.0,21.7,3.1,2.7,Amarelo,Ativo
43,,2467.0,9.5,0.0,31.8,7.0,1.1,Azul,Sedentario
18,7.4,6178.0,8.7,2.0,24.4,4.4,2.8,Azul,Moderadamente_Ativo
29,9.6,12245.0,3.8,4.0,20.7,3.4,4.1,Amarelo,Ativo
57,5.5,2087.0,7.9,0.0,19.0,6.0,1.4,Azul,Sedentario
23,8.6,,2.9,5.0,22.7,3.2,2.6,Azul,Ativo
33,7.7,2714.0,10.4,0.0,35.0,11.5,1.8,Vermelho,Sedentario
18,8.2,10990.0,2.1,6.0,24.3,2.7,3.4,Roxo,Ativo
35,7.2,9274.0,5.0,4.0,20.2,4.4,2.9,Amarelo,Ativo
23,5.5,378.0,10.9,0.0,25.9,9.4,0.6,Preto,Sedentario
38,,9095.0,4.3,5.0,,3.5,3.3,Roxo,Ativo
74,6.0,3175.0,9.0,0.0,24.8,7.5,1.9,Roxo,Sedentario
29,4.4,1596.0,12.4,0.0,24.9,9.9,0.9,Preto,Sedentario
27,8.4,15101.0,5.2,5.0,19.2,2.4,2.8,Roxo,Ativo
18,7.2,7728.0,6.7,3.0,27.3,5.5,2.3,Verde,Moderadamente_Ativo
36,8.6,16232.0,3.3,6.0,25.7,,2.5,Vermelho,Ativo
44,8.6,11823.0,4.0,5.0,21.0,0.7,3.1,Roxo,Ativo
25,7.4,7842.0,7.7,4.0,,2.4,2.2,Vermelho,Moderadamente_Ativo
54,,2659.0,9.7,0.0,28.5,10.4,1.2,Preto,Sedentario
65,7.4,650.0,12.6,1.0,34.4,8.2,0.8,Preto,Sedentario
18,7.8,10985.0,3.6,6.0,22.3,2.0,3.6,Cinza,Ativo
26,,11663.0,3.1,6.0,18.7,1.0,3.0,Amarelo,Ativo
38,7.7,5464.0,6.6,2.0,26.8,3.8,2.0,Branco,Moderadamente_Ativo
