@relation nivel_atividade_fisica-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute idade numeric
@attribute horas_sono numeric
@attribute passos_diarios numeric
@attribute horas_sentado numeric
@attribute freq_exercicio_semana numeric
@attribute imc numeric
@attribute horas_tela numeric
@attribute consumo_agua_litros numeric
@attribute nivel_atividade {Sedentario,Moderadamente_Ativo,Ativo}

@data
0.4,0.876923,0.194833,0.587838,0.285714,0.209003,0.313869,0.361702,Moderadamente_Ativo
0.083333,0.738462,0.235467,0.452703,0.285714,0.144695,0.430657,0.489362,Moderadamente_Ativo
0.816667,0.323077,0.070167,0.614865,0,0.273312,0.467153,0.106383,Sedentario
0.233333,0.753846,0.3108,0.121622,0.714286,0.122186,0.291971,0.425532,Ativo
0.6,0.630769,0.050767,0.594595,0,0.273312,0.656934,0.276596,Sedentario
0.083333,0.753846,0.380267,0.155405,0.714286,0.045016,0.109489,0.489362,Ativo
0.416667,0.353846,0.096567,0.682432,0,0.55627,0.459854,0.212766,Sedentario
0.533333,0,0.466667,0.067568,0.857143,0.086817,0.109489,0.680851,Ativo
0.066667,0.446154,0.192267,0.472973,0.347814,0.414791,0.518248,0.468085,Moderadamente_Ativo
0.5,0.6,0.0679,0.777027,0.142857,0.350482,0.532847,0.297872,Sedentario
0.316667,0.492308,0,0.452703,0,0.511254,0.948905,0.106383,Sedentario
0.483333,0.569231,0.2098,0.439189,0.285714,0.363344,0.211679,0.360914,Moderadamente_Ativo
0.7,0.507692,0.096833,0.702703,0.142857,0.273462,0.59854,0.085106,Sedentario
0.4,0.523077,0.2546,0.371622,0.428571,0.212219,0.437956,0.425532,Moderadamente_Ativo
0.3,0.323077,0.078967,0.614865,0,0.292605,0.693431,0.234043,Sedentario
0.35,0.523077,0.234,0.391892,0.428571,0.311897,0.240876,0.510638,Moderadamente_Ativo
0.25,0.507692,0.5099,0.202703,0.857143,0.086817,0.138686,0.297872,Ativo
0.7,0.430769,0.090767,0.844595,0,0.231511,0.664234,0.340426,Sedentario
0.6,0.384615,0.0661,0.52027,0,0.135048,0.649635,0.191489,Sedentario
0.616667,0.615385,0.069467,0.601351,0,0.302251,0.489051,0.255319,Sedentario
0.35,0.261538,0.0811,0.560811,0,0.392283,0.554745,0.085106,Sedentario
0.15,0.584615,0.257467,0.425676,0.428571,0.308682,0.372263,0.340426,Moderadamente_Ativo
0.433333,0.430769,0.0855,0.601351,0,0.575563,0.467153,0.06383,Sedentario
0.066667,0.538462,0.364767,0.141892,0.714286,0.135048,0.065693,0.489362,Ativo
0.083333,0.723077,0.533,0.162162,0.714286,0.199357,0.189781,0.360914,Ativo
0.133333,0.507692,0.2467,0.378378,0.428571,0.038585,0.357664,0.404255,Moderadamente_Ativo
0.5,0.307692,0.0641,0.614865,0,0.318328,0.518248,0.255319,Sedentario
0.15,0.507692,0.286467,0.398649,0.285714,0.237942,0.277372,0.404255,Moderadamente_Ativo
